Departure_Time,Route,Type,Note
08:20,Station_to_School,Weekday,조치원역 → 오송역 → 조치원역 → 학교
08:50,School_to_Station,Weekday,영진관광(평일)
09:10,School_to_Station,Weekday,영진관광(평일)
09:30,School_to_Station,Weekday,영진관광(평일)
09:40,School_to_Station,Weekday,영진관광(평일)
09:50,School_to_Station,Weekday,영진관광(평일)
10:10,School_to_Station,Weekday,영진관광(평일)
10:30,School_to_Station,Weekday,영진관광(평일)
10:40,School_to_Station,Weekday,영진관광(평일)
11:00,School_to_Station,Weekday,영진관광(평일)
11:20,School_to_Station,Weekday,영진관광(평일)
11:40,School_to_Station,Weekday,영진관광(평일)
12:10,School_to_Station,Weekday,영진관광(평일)
12:30,School_to_Station,Weekday,영진관광(평일)
12:40,School_to_Station,Weekday,영진관광(평일)
13:10,School_to_Station,Weekday,영진관광(평일)
13:30,School_to_Station,Weekday,영진관광(평일)
13:50,School_to_Station,Weekday,영진관광(평일)
14:10,School_to_Station,Weekday,영진관광(평일)
14:30,School_to_Station,Weekday,영진관광(평일)
15:00,School_to_Station,Weekday,영진관광(평일)
15:10,School_to_Station,Weekday,영진관광(평일)
15:30,School_to_Station,Weekday,영진관광(평일)
15:50,School_to_Station,Weekday,영진관광(평일)
16:10,School_to_Station,Weekday,영진관광(평일)
16:30,School_to_Station,Weekday,영진관광(평일)
16:50,School_to_Station,Weekday,영진관광(평일)
17:10,School_to_Station,Weekday,영진관광(평일)
17:25,School_to_Station,Weekday,영진관광(평일)
17:40,School_to_Station,Weekday,영진관광(평일)
18:00,School_to_Station,Weekday,영진관광(평일)
18:25,School_to_Station,Weekday,조치원역 경유/오송역 도착
18:40,School_to_Station,Weekday,영진관광(평일)
19:10,School_to_Station,Weekday,영진관광(평일)
19:40,School_to_Station,Weekday,영진관광(평일)
20:10,School_to_Station,Weekday,영진관광(평일)
20:50,School_to_Station,Weekday,영진관광(평일)
08:45,Station_to_School,Weekday,영진관광(평일)
09:00,Station_to_School,Weekday,영진관광(평일)
09:20,Station_to_School,Weekday,영진관광(평일)
09:40,Station_to_School,Weekday,영진관광(평일)
09:50,Station_to_School,Weekday,영진관광(평일)
10:00,Station_to_School,Weekday,영진관광(평일)
10:20,Station_to_School,Weekday,영진관광(평일)
10:40,Station_to_School,Weekday,영진관광(평일)
10:50,Station_to_School,Weekday,영진관광(평일)
11:10,Station_to_School,Weekday,영진관광(평일)
11:30,Station_to_School,Weekday,영진관광(평일)
11:50,Station_to_School,Weekday,영진관광(평일)
12:20,Station_to_School,Weekday,영진관광(평일)
12:40,Station_to_School,Weekday,영진관광(평일)
12:50,Station_to_School,Weekday,영진관광(평일)
13:20,Station_to_School,Weekday,영진관광(평일)
13:40,Station_to_School,Weekday,영진관광(평일)
14:00,Station_to_School,Weekday,영진관광(평일)
14:20,Station_to_School,Weekday,영진관광(평일)
14:40,Station_to_School,Weekday,영진관광(평일)
15:10,Station_to_School,Weekday,영진관광(평일)
15:20,Station_to_School,Weekday,영진관광(평일)
15:40,Station_to_School,Weekday,영진관광(평일)
16:00,Station_to_School,Weekday,영진관광(평일)
16:20,Station_to_School,Weekday,영진관광(평일)
16:40,Station_to_School,Weekday,영진관광(평일)
17:00,Station_to_School,Weekday,영진관광(평일)
17:20,Station_to_School,Weekday,영진관광(평일)
17:35,Station_to_School,Weekday,영진관광(평일)
17:50,Station_to_School,Weekday,영진관광(평일)
18:10,Station_to_School,Weekday,영진관광(평일)
18:50,Station_to_School,Weekday,영진관광(평일)
19:20,Station_to_School,Weekday,영진관광(평일)
19:50,Station_to_School,Weekday,영진관광(평일)
20:20,Station_to_School,Weekday,영진관광(평일)
21:00,Station_to_School,Weekday,영진관광(평일)
17:00,School_to_Station,Sunday,영진관광(일요일)
17:40,School_to_Station,Sunday,영진관광(일요일)
18:40,School_to_Station,Sunday,영진관광(일요일)
19:00,School_to_Station,Sunday,영진관광(일요일)
19:40,School_to_Station,Sunday,영진관광(일요일)
20:20,School_to_Station,Sunday,영진관광(일요일)
21:10,School_to_Station,Sunday,영진관광(일요일)
16:30,Station_to_School,Sunday,영진관광(일요일)
17:10,Station_to_School,Sunday,영진관광(일요일)
17:50,Station_to_School,Sunday,영진관광(일요일)
18:50,Station_to_School,Sunday,영진관광(일요일)
19:10,Station_to_School,Sunday,영진관광(일요일)
19:50,Station_to_School,Sunday,영진관광(일요일)
20:35,Station_to_School,Sunday,영진관광(일요일)
21:20,Station_to_School,Sunday,영진관광(일요일)
08:20,Station_to_Osong,Weekday,조치원역 → 오송역(평일)
18:25,School_to_Osong,Weekday,학교 → 조치원역 → 오송역(평일)
